epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/p_mse_norm_epoch,train/p_mse_norm_step,train/tau_mse_norm_epoch,train/tau_mse_norm_step,train/total_epoch,train/total_step,val/cd_rel_err_pct,val/p_mse_norm,val/tau_mse_norm,val/total
,0.0004,0.0004,4,,,,,,,,,,
0,,,4,,373264.5,,1.0215182304382324,,373265.53125,,,,
,0.0004995329614552355,0.0004995329614552355,9,,,,,,,,,,
0,,,9,,466254.125,,1.0538291931152344,,466255.1875,,,,
,0.0004976389398764865,0.0004976389398764865,14,,,,,,,,,,
0,,,14,,193115.6875,,0.7376305460929871,,193116.421875,,,,
0,,,15,,,,,,,99.67513275146484,478941.09375,0.5993644595146179,478941.71875
0,,,15,336794.875,,0.9234030842781067,,336795.8125,,,,,
,0.0004943010193390463,0.0004943010193390463,19,,,,,,,,,,
1,,,19,,537581.8125,,1.194640040397644,,537583.0,,,,
,0.0004895408475384656,0.0004895408475384656,24,,,,,,,,,,
1,,,24,,456553.53125,,1.0336605310440063,,456554.5625,,,,
,0.0004833892960154997,0.0004833892960154997,29,,,,,,,,,,
1,,,29,,367395.625,,0.8823001980781555,,367396.5,,,,
1,,,31,,,,,,,99.5328369140625,476616.9375,0.8713327646255493,476617.78125
1,,,31,334884.0625,,0.8853567242622375,,334884.96875,,,,,
,0.0004758862599423194,0.0004758862599423194,34,,,,,,,,,,
2,,,34,,238502.765625,,0.6695296168327332,,238503.4375,,,,
,0.0004670803993870113,0.0004670803993870113,39,,,,,,,,,,
2,,,39,,323325.125,,0.7096040844917297,,323325.84375,,,,
,0.00045702882373436317,0.00045702882373436317,44,,,,,,,,,,
2,,,44,,223061.296875,,0.5693936944007874,,223061.859375,,,,
2,,,47,,,,,,,99.33692169189453,474981.5,0.8070539832115173,474982.3125
2,,,47,333907.9375,,0.7225218415260315,,333908.625,,,,,
